StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly
18,Male,Chennai,Tier2,IT,AI,No,Yes,7.8,7.7,8.38,7.44,8.15,8.15,7.92,7.99,7.94,75.1,1,4,2.0,3,1,68.9,6.95,79.4,84.3,No,High,0,0
19,Female,Ahmedabad,Tier2,EE,DataScience,Yes,No,5.62,6.55,6.5,6.57,6.37,6.3,6.64,6.86,6.43,60.3,1,0,2.0,2,0,41.8,4.75,35.4,35.8,No,Medium,0,0
20,Female,Ahmedabad,Tier2,CS,Networking,Yes,No,6.46,5.99,6.69,6.85,6.49,6.51,6.77,6.93,6.59,67.7,0,2,1.0,1,0,62.0,5.93,49.3,56.1,Yes,Medium,0,0
21,Female,Hyderabad,Tier2,ECE,Embedded,Yes,No,6.25,5.51,6.38,5.78,6.42,5.26,6.36,6.61,6.07,71.6,0,1,1.0,1,0,56.3,3.87,28.6,40.6,No,Medium,0,0
22,Male,Chennai,Tier2,Civil,Embedded,Yes,No,6.25,6.8,6.66,7.51,6.63,7.32,6.81,7.24,6.9,60.7,1,2,1.0,2,0,55.2,7.24,41.6,69.1,No,Medium,0,0
23,Female,Ahmedabad,Tier2,IT,DataScience,Yes,Yes,6.65,6.62,7.04,6.73,7.48,7.32,7.23,7.11,7.02,69.6,1,3,2.0,1,0,62.9,5.43,54.3,55.7,Yes,Medium,1,0
24,Female,Bangalore,Tier3,IT,AI,Yes,Yes,7.18,6.96,7.57,7.4,7.77,8.18,7.52,7.87,7.56,69.7,3,4,3.0,3,0,70.0,5.84,53.2,77.2,No,High,1,0
25,Female,Pune,Tier2,EE,DataScience,No,No,7.75,7.76,8.31,8.09,8.46,8.31,8.3,8.24,8.15,93.4,1,4,3.0,4,1,71.5,7.31,73.3,73.8,No,High,1,0
26,Male,Ahmedabad,Tier2,Mechanical,DataScience,Yes,No,6.44,7.26,6.28,7.35,7.18,6.93,7.24,6.84,6.94,74.6,1,3,1.0,2,0,52.2,5.84,50.2,53.3,No,Medium,1,0
27,Male,Pune,Tier3,Mechanical,DataScience,No,No,7.52,7.43,7.25,7.05,7.8,7.56,7.7,6.82,7.39,76.2,1,4,2.0,3,0,,7.31,71.9,60.6,Yes,Medium,0,0
28,Male,Jaipur,Tier3,Mechanical,DataScience,Yes,No,6.7,6.71,7.0,7.27,7.25,6.47,7.15,7.22,6.97,65.9,1,2,2.0,3,1,58.7,5.97,44.9,64.8,No,Medium,1,0
29,Male,Jaipur,Tier2,IT,AI,No,Yes,5.93,6.29,6.28,6.1,6.21,5.91,5.77,5.66,6.02,63.4,0,1,1.0,0,0,35.2,4.82,25.8,49.9,Yes,Medium,0,0
30,Female,Hyderabad,Tier3,IT,AI,No,No,5.59,5.81,5.23,5.37,5.52,5.26,6.14,6.24,5.64,62.8,0,0,0.0,0,0,45.4,4.19,31.9,39.2,Yes,Low,0,0
31,Female,Kolkata,Tier3,ECE,Embedded,Yes,No,7.18,7.7,7.09,7.26,6.76,7.06,7.22,7.11,7.17,78.8,1,2,3.0,2,1,63.5,6.59,,61.0,Yes,Medium,0,0
32,Female,Bangalore,Tier2,EE,AI,Yes,Yes,7.34,7.01,7.31,7.4,7.44,6.76,7.28,7.54,7.26,77.7,2,4,1.0,1,0,65.7,6.58,57.9,,Yes,Medium,1,0
33,Male,Kolkata,Tier3,CS,AI,No,No,8.04,7.87,8.65,8.13,8.81,7.79,8.48,8.04,8.23,86.2,2,4,3.0,3,1,80.3,8.29,86.7,,Yes,High,1,0
34,Male,Chennai,Tier1,IT,AI,No,No,6.42,6.69,6.77,6.87,6.52,5.64,6.99,7.04,6.62,63.5,1,3,3.0,2,0,51.0,5.18,37.2,59.7,Yes,Medium,0,0
35,Male,Chennai,Tier2,IT,DataScience,Yes,No,7.57,7.44,7.04,6.9,7.02,7.27,6.75,7.69,7.21,76.8,1,2,,2,0,64.4,6.43,63.1,64.4,Yes,Medium,1,0
36,Male,Jaipur,Tier1,IT,DataScience,No,Yes,5.17,5.51,6.24,6.13,6.14,6.1,6.04,5.89,5.9,64.8,0,1,,0,0,50.1,3.56,40.3,49.0,Yes,Low,0,0
37,Male,Mumbai,Tier1,CS,Embedded,Yes,No,6.79,7.08,6.76,6.43,6.95,6.8,6.45,6.59,6.73,68.9,1,1,2.0,2,1,66.2,5.47,67.7,55.2,No,Medium,0,0
38,Male,Bangalore,Tier3,Civil,Networking,No,No,7.43,8.02,7.93,7.01,6.96,7.72,7.81,8.24,7.64,80.0,2,3,3.0,1,1,74.5,7.49,47.2,69.4,No,High,0,0
39,Male,Hyderabad,Tier2,Civil,DataScience,Yes,Yes,8.52,7.44,8.15,8.4,7.26,7.69,7.76,7.89,7.89,77.7,2,3,4.0,3,1,77.7,8.45,67.5,81.8,No,High,1,0
40,Female,Kolkata,Tier2,Mechanical,DataScience,No,Yes,5.93,6.04,6.41,6.23,5.85,5.32,6.11,6.32,6.03,71.2,1,0,1.0,0,0,52.1,6.06,35.7,50.9,No,Medium,0,0
41,Male,Mumbai,Tier2,Mechanical,AI,Yes,No,7.23,6.79,7.22,7.28,7.56,7.23,6.89,7.81,7.25,80.0,2,2,,3,0,70.9,6.64,55.2,67.8,Yes,Medium,1,1
42,Female,Jaipur,Tier1,CS,AI,No,No,7.11,7.59,7.13,7.62,8.33,7.38,8.03,7.58,7.6,82.7,1,3,2.0,3,1,65.3,5.71,75.6,77.6,Yes,High,0,0
43,Female,Hyderabad,Tier3,Mechanical,Embedded,Yes,No,5.39,6.42,5.78,6.29,6.77,6.15,6.95,5.86,6.2,58.6,0,1,1.0,1,0,57.3,5.35,42.2,47.0,No,Medium,1,0
44,Male,Pune,Tier3,IT,Networking,No,No,5.76,5.52,5.42,6.22,5.67,4.99,5.6,5.41,5.57,60.6,0,0,,0,0,,2.94,27.1,48.1,No,Low,0,0
45,Female,Ahmedabad,Tier1,CS,Networking,No,No,9.74,9.19,9.39,9.74,9.74,9.61,9.99,9.32,9.59,100.0,3,5,5.0,7,2,99.7,9.77,97.9,,Yes,Excellent,1,0
46,Female,Chennai,Tier2,EE,Embedded,No,No,7.86,7.68,7.9,7.63,7.81,7.59,8.35,7.95,7.85,80.3,2,2,,2,1,71.6,7.11,67.0,77.4,No,High,1,0
47,Male,Kolkata,Tier2,Mechanical,DataScience,Yes,No,7.29,7.36,7.09,7.4,7.61,6.97,7.46,7.18,7.3,73.3,2,3,2.0,1,0,54.1,,48.0,62.0,No,Medium,0,0
48,Male,Mumbai,Tier2,IT,Networking,No,No,6.93,6.86,7.2,7.25,7.55,7.11,6.87,7.24,7.13,72.5,3,3,0.0,2,1,76.6,6.44,71.0,72.1,Yes,Medium,1,0
49,Female,Delhi,Tier2,CS,DataScience,No,No,6.27,6.34,5.92,6.45,7.17,6.94,5.62,6.93,6.45,69.5,0,1,0.0,2,0,56.4,4.38,42.6,47.5,Yes,Medium,0,0
50,Male,Delhi,Tier1,CS,Embedded,Yes,Yes,6.81,7.43,7.11,7.26,6.95,7.87,7.47,8.16,7.38,81.4,1,3,2.0,2,0,69.1,6.12,58.8,61.7,Yes,Medium,1,0
51,Male,Chennai,Tier1,EE,Networking,Yes,Yes,8.67,8.12,8.56,7.98,7.99,8.55,8.78,8.27,8.36,90.0,2,4,3.0,4,1,61.2,7.92,74.5,73.4,No,High,1,0
52,Male,Ahmedabad,Tier2,ECE,DataScience,Yes,No,8.15,7.51,8.27,8.47,8.41,7.58,7.99,8.19,8.07,83.8,2,4,4.0,4,0,62.5,,82.5,86.9,Yes,High,1,0
53,Female,Jaipur,Tier2,EE,Embedded,Yes,No,7.74,7.18,7.56,6.84,7.34,7.59,7.08,7.17,7.31,67.0,1,2,1.0,2,0,,6.65,54.4,71.2,No,Medium,1,0
54,Female,Kolkata,Tier2,IT,Embedded,Yes,No,7.92,6.97,7.02,7.89,7.01,7.76,7.18,7.7,7.43,83.7,1,1,1.0,3,1,74.9,6.53,54.8,50.6,Yes,Medium,0,0
55,Female,Hyderabad,Tier2,ECE,Embedded,Yes,No,5.03,5.24,5.38,5.6,5.81,6.38,5.98,5.53,5.62,55.8,0,1,0.0,0,0,,4.53,33.5,47.5,No,Low,0,0
56,Female,Bangalore,Tier2,CS,Embedded,Yes,No,7.36,7.84,7.62,7.73,7.13,7.98,7.38,7.91,7.62,75.5,1,2,2.0,4,0,60.3,7.56,,68.7,Yes,High,1,0
57,Male,Mumbai,Tier2,ECE,AI,Yes,No,8.16,8.09,8.05,7.98,8.01,8.38,8.55,8.07,8.16,88.6,2,3,3.0,2,0,76.1,8.04,73.0,82.1,Yes,High,1,0
58,Male,Hyderabad,Tier2,EE,DataScience,No,No,9.01,8.7,8.8,8.97,8.67,8.22,8.94,8.91,8.78,90.6,3,3,3.0,6,1,88.1,9.41,86.4,88.8,No,Excellent,1,0
59,Male,Jaipur,Tier2,Civil,Networking,No,No,6.0,6.69,6.14,6.41,6.21,7.05,7.09,6.96,6.57,71.3,1,2,3.0,2,0,49.4,5.53,50.0,,No,Medium,0,0
60,Male,Pune,Tier2,Civil,DataScience,Yes,No,8.46,8.61,9.02,8.44,8.35,9.19,9.29,8.61,8.75,89.7,2,5,3.0,3,0,69.1,8.74,94.7,91.8,Yes,Excellent,1,0
61,Female,Bangalore,Tier1,IT,DataScience,Yes,Yes,7.58,7.43,7.49,6.97,6.95,7.42,7.48,7.24,7.32,80.7,0,5,1.0,2,0,72.1,,49.6,72.4,No,Medium,1,0
62,Male,Delhi,Tier3,ECE,Networking,Yes,No,4.73,4.79,4.89,5.78,5.46,5.64,5.46,5.19,5.24,49.7,0,0,0.0,0,0,35.5,3.2,20.9,31.3,No,Low,0,0
63,Male,Ahmedabad,Tier3,EE,Embedded,Yes,No,7.23,7.2,6.6,6.83,7.83,7.58,7.38,7.23,7.24,80.4,2,3,3.0,2,1,63.6,6.25,55.4,63.1,Yes,Medium,1,0
64,Female,Jaipur,Tier3,CS,Embedded,Yes,No,6.08,5.7,5.81,5.69,5.86,5.94,6.08,5.93,5.89,75.3,0,2,1.0,0,0,50.2,4.28,,,Yes,Low,0,0
65,Female,Delhi,Tier2,CS,Embedded,Yes,No,6.5,6.87,6.61,6.65,6.56,6.78,7.61,6.37,6.74,64.4,1,2,1.0,2,0,53.4,4.53,44.3,49.6,Yes,Medium,0,0
66,Male,Ahmedabad,Tier3,CS,Embedded,No,Yes,6.96,7.39,7.79,6.96,6.99,7.16,8.39,8.01,7.46,71.4,2,3,2.0,4,0,63.5,6.59,52.5,68.3,No,Medium,1,0
67,Male,Pune,Tier2,ECE,Networking,No,No,6.84,6.88,7.24,7.26,7.04,7.41,7.78,7.4,7.23,79.1,1,3,2.0,1,0,53.6,7.13,66.9,63.1,No,Medium,1,0
68,Male,Pune,Tier2,Civil,Networking,No,No,7.11,7.94,7.67,7.0,7.02,7.53,7.36,7.4,7.38,77.9,1,4,2.0,2,0,55.6,5.67,55.6,70.8,No,Medium,0,0
69,Male,Ahmedabad,Tier2,CS,Embedded,No,No,6.65,7.23,7.37,7.21,6.8,6.98,6.86,7.19,7.04,68.5,2,3,3.0,1,1,63.2,5.61,57.3,66.6,No,Medium,1,1
70,Male,Bangalore,Tier2,Mechanical,AI,Yes,No,8.59,8.3,8.77,8.5,8.84,8.71,8.42,8.92,8.63,86.6,2,3,3.0,5,1,85.7,8.56,80.9,89.2,Yes,Excellent,1,0
71,Male,Jaipur,Tier2,CS,Networking,Yes,No,6.71,7.11,7.83,7.42,8.07,7.09,7.47,7.49,7.4,79.1,2,4,0.0,3,0,65.9,7.01,71.9,74.8,No,Medium,1,0
72,Male,Kolkata,Tier1,EE,Networking,No,No,7.62,7.1,6.74,7.27,7.24,7.02,6.82,6.95,7.1,65.1,1,3,3.0,3,1,,5.6,66.4,65.1,Yes,Medium,0,0
73,Female,Ahmedabad,Tier2,ECE,Embedded,Yes,Yes,8.07,7.85,8.77,7.65,7.99,8.61,8.82,7.89,8.21,75.7,1,3,3.0,4,1,70.2,7.82,75.7,74.5,No,High,1,0
74,Male,Ahmedabad,Tier2,CS,AI,Yes,No,7.87,7.69,7.75,8.15,8.02,7.65,8.42,7.74,7.91,87.1,1,3,1.0,4,0,67.6,6.72,69.7,65.7,No,High,0,0
75,Male,Mumbai,Tier2,Civil,DataScience,No,Yes,7.37,7.58,7.45,7.33,7.4,7.6,7.72,7.44,7.49,78.5,1,3,2.0,3,1,60.1,7.3,59.5,66.5,Yes,Medium,0,0
76,Male,Delhi,Tier2,CS,Embedded,No,No,5.63,5.17,5.34,5.51,5.43,5.38,5.97,5.63,5.51,63.7,0,0,1.0,0,0,37.4,3.76,43.2,43.0,Yes,Low,0,0
77,Male,Kolkata,Tier1,IT,AI,No,Yes,7.21,7.43,7.4,7.55,7.65,7.7,7.94,7.88,7.6,75.3,1,2,3.0,2,0,64.8,7.13,65.5,66.7,No,High,1,0
78,Female,Pune,Tier2,CS,Embedded,Yes,Yes,6.9,7.82,7.75,8.82,8.67,8.21,7.88,7.51,7.94,77.7,3,3,2.0,3,1,,6.91,71.0,74.2,Yes,High,0,0
79,Male,Hyderabad,Tier2,Civil,Embedded,Yes,No,6.08,6.17,5.73,6.23,5.92,6.22,5.35,6.06,5.97,66.9,0,1,0.0,0,0,48.8,3.79,33.0,33.3,No,Low,0,0
80,Female,Jaipur,Tier1,EE,Embedded,Yes,No,6.8,7.74,7.29,7.03,6.77,7.46,7.38,7.53,7.25,76.9,1,3,2.0,3,0,61.9,5.52,60.9,63.7,Yes,Medium,0,0
81,Female,Jaipur,Tier2,CS,Networking,No,Yes,7.47,7.45,7.15,6.87,7.12,7.25,6.19,6.8,7.04,81.0,2,3,2.0,1,0,67.0,6.22,,61.4,Yes,Medium,0,0
82,Male,Pune,Tier1,EE,AI,Yes,No,7.58,7.7,8.51,8.38,8.14,8.01,7.79,8.28,8.05,89.2,1,3,4.0,3,0,75.9,7.59,65.6,72.4,Yes,High,1,0
83,Female,Bangalore,Tier3,Civil,DataScience,No,No,9.03,7.88,7.88,7.92,8.6,8.64,7.84,8.47,8.28,82.3,1,4,2.0,4,1,76.5,7.92,61.9,73.1,No,High,1,0
84,Male,Bangalore,Tier2,ECE,Embedded,No,No,8.28,7.23,7.73,8.51,8.18,7.83,8.23,7.96,7.99,80.5,3,3,4.0,3,1,76.2,7.93,67.3,78.4,No,High,1,0
85,Male,Kolkata,Tier3,IT,Embedded,No,No,5.7,6.34,5.71,5.74,5.74,5.85,6.14,5.97,5.9,69.2,1,1,0.0,1,0,50.4,4.29,38.3,44.9,No,Low,0,0
86,Male,Kolkata,Tier2,ECE,DataScience,No,No,6.0,6.11,5.41,5.87,5.92,6.15,5.96,6.66,6.01,62.2,0,0,3.0,1,0,37.1,5.25,44.4,40.7,No,Medium,0,0
87,Female,Jaipur,Tier1,ECE,Networking,Yes,No,5.44,5.62,5.31,5.52,5.11,5.77,5.67,4.57,5.38,53.8,0,0,0.0,0,0,31.7,4.05,,39.2,Yes,Low,0,0
88,Male,Mumbai,Tier1,ECE,Networking,Yes,Yes,6.62,6.92,7.34,7.8,7.01,7.19,8.0,7.9,7.35,81.2,1,2,0.0,3,0,67.0,6.52,,57.6,Yes,Medium,0,0
89,Male,Hyderabad,Tier2,Mechanical,Embedded,No,No,7.37,6.3,6.98,7.24,6.48,6.68,6.86,7.4,6.91,77.6,1,2,,2,0,75.9,6.14,52.2,60.6,Yes,Medium,0,0
90,Male,Pune,Tier3,ECE,DataScience,No,No,6.61,7.38,6.66,6.38,6.58,6.98,7.02,6.85,6.81,66.0,0,1,1.0,2,1,50.0,,43.7,54.1,No,Medium,0,0
91,Male,Pune,Tier2,EE,DataScience,Yes,No,8.49,9.16,8.57,9.11,9.16,9.19,8.95,9.18,8.98,93.1,2,4,2.0,6,2,94.7,9.17,85.5,100.0,No,Excellent,1,0
92,Female,Pune,Tier2,EE,Networking,Yes,Yes,5.89,6.15,6.7,6.17,6.04,5.98,6.14,6.23,6.16,67.0,0,1,0.0,0,0,41.3,4.55,36.4,49.2,Yes,Medium,0,0
93,Male,Chennai,Tier2,ECE,DataScience,Yes,No,6.69,6.37,6.86,6.67,6.1,7.18,7.22,6.47,6.7,66.2,0,2,,1,0,47.2,,49.9,55.8,Yes,Medium,0,0
94,Male,Mumbai,Tier2,IT,AI,Yes,Yes,6.96,6.4,6.32,6.24,6.54,6.39,6.64,6.5,6.5,60.7,1,0,,1,0,50.8,6.14,45.8,47.4,No,Medium,1,0
95,Male,Delhi,Tier2,EE,Networking,Yes,No,10.0,9.75,9.67,9.51,10.0,9.78,10.0,9.17,9.74,100.0,3,6,5.0,6,2,98.8,10.0,100.0,94.9,No,Excellent,1,0
96,Female,Hyderabad,Tier2,CS,Embedded,No,No,7.53,6.62,6.81,6.46,7.09,6.78,6.53,7.08,6.86,60.9,0,2,0.0,0,0,47.0,4.76,40.7,51.2,No,Medium,0,0
97,Male,Chennai,Tier1,ECE,DataScience,Yes,No,8.57,8.33,8.45,8.57,9.14,8.86,9.18,9.14,8.78,86.9,3,4,3.0,4,1,78.1,9.39,92.0,89.6,No,Excellent,1,0
98,Male,Hyderabad,Tier2,IT,Networking,No,Yes,6.45,6.52,6.21,6.39,6.77,7.46,6.98,6.46,6.66,69.0,1,1,0.0,1,1,,6.18,53.8,53.3,Yes,Medium,0,0
99,Male,Delhi,Tier2,IT,Networking,Yes,No,7.22,6.51,6.9,7.15,6.72,6.72,6.13,6.56,6.74,62.8,1,2,2.0,2,0,64.8,5.46,65.3,61.6,Yes,Medium,1,0
100,Female,Hyderabad,Tier2,Mechanical,Networking,Yes,No,6.71,6.42,7.05,6.08,6.9,6.44,6.41,6.19,6.52,60.4,0,1,1.0,2,0,49.4,,44.3,54.5,No,Medium,0,0
101,Female,Delhi,Tier2,CS,Networking,No,No,6.61,6.78,6.99,6.22,6.21,7.32,7.1,6.67,6.74,64.1,0,2,2.0,2,0,56.5,5.27,45.1,,No,Medium,0,0
102,Female,Jaipur,Tier3,IT,AI,Yes,No,7.24,7.57,8.12,7.69,7.89,7.4,7.73,8.19,7.73,71.4,0,3,3.0,4,0,77.7,8.21,74.9,72.3,No,High,0,0
103,Male,Bangalore,Tier2,ECE,AI,Yes,No,7.15,7.4,7.72,7.71,7.93,7.97,8.36,8.0,7.78,81.8,2,3,5.0,3,1,,7.57,72.6,64.3,Yes,High,1,0
104,Female,Kolkata,Tier2,IT,DataScience,No,Yes,6.11,6.42,6.01,5.76,6.77,6.38,6.5,6.81,6.34,61.9,0,1,,0,0,42.4,4.07,37.2,51.6,No,Medium,0,0
105,Female,Delhi,Tier3,Civil,AI,Yes,No,5.46,5.58,5.86,4.82,5.64,6.35,5.71,5.79,5.65,54.7,0,0,0.0,1,0,36.9,4.29,36.7,,Yes,Low,0,0
106,Female,Kolkata,Tier3,ECE,DataScience,No,No,6.71,6.27,6.72,6.91,6.67,6.39,7.18,7.21,6.76,67.3,1,2,2.0,2,0,56.2,6.26,52.1,56.3,Yes,Medium,0,0
107,Male,Chennai,Tier1,IT,Embedded,No,No,8.11,8.13,8.11,8.59,7.97,8.46,8.08,8.37,8.23,88.2,3,2,5.0,4,1,,7.86,84.4,83.9,No,High,1,0
108,Male,Chennai,Tier2,EE,AI,Yes,No,8.09,8.11,9.05,8.24,8.54,9.14,8.64,8.81,8.58,84.1,3,5,,4,1,100.0,7.45,77.8,,No,Excellent,1,0
109,Male,Mumbai,Tier1,ECE,DataScience,No,Yes,5.58,5.97,5.55,5.7,5.83,5.42,5.91,6.02,5.75,67.4,0,1,0.0,0,0,40.6,4.74,30.5,44.2,No,Low,0,0
110,Female,Hyderabad,Tier2,CS,Networking,Yes,No,7.86,8.49,8.0,7.83,8.1,7.94,8.59,8.85,8.21,82.8,2,4,4.0,2,1,79.4,,77.7,89.8,Yes,High,1,0
111,Male,Pune,Tier2,IT,Embedded,Yes,Yes,5.36,5.37,5.63,5.94,6.16,5.77,5.74,5.93,5.74,62.8,0,0,1.0,1,0,43.7,5.28,35.5,49.6,No,Low,0,0
112,Male,Jaipur,Tier3,Civil,Networking,Yes,Yes,7.21,7.17,6.69,7.14,7.49,7.28,6.97,6.82,7.1,69.6,1,2,,3,0,55.3,6.12,50.5,63.4,Yes,Medium,1,0
113,Male,Kolkata,Tier3,ECE,AI,No,No,5.9,5.63,6.44,5.93,6.24,6.85,5.96,6.31,6.16,69.4,0,2,0.0,1,0,48.7,4.81,48.3,51.4,Yes,Medium,0,0
114,Male,Hyderabad,Tier1,IT,Networking,Yes,No,5.9,5.87,6.11,6.05,6.0,6.02,6.28,6.69,6.12,60.0,0,0,2.0,0,0,47.7,3.93,26.7,52.1,Yes,Medium,0,0
115,Male,Chennai,Tier3,Civil,Networking,Yes,No,6.91,7.66,6.36,7.42,7.02,7.48,7.68,6.89,7.18,69.3,1,1,1.0,1,0,56.4,6.32,60.1,56.3,No,Medium,1,0
116,Female,Jaipur,Tier2,ECE,DataScience,No,No,8.52,8.45,8.62,7.82,8.48,8.11,8.41,8.51,8.36,92.6,3,3,4.0,4,2,85.4,,94.2,83.1,Yes,High,1,0
117,Female,Jaipur,Tier2,EE,Networking,No,No,7.96,8.24,7.54,7.86,7.83,8.04,8.03,7.67,7.9,80.3,2,3,3.0,2,1,78.6,7.61,68.7,77.4,Yes,High,1,0
118,Female,Chennai,Tier3,IT,AI,No,No,8.33,7.96,7.95,8.16,8.67,8.71,8.51,8.5,8.35,86.8,2,3,,4,1,76.6,8.54,82.6,87.8,No,High,1,0
119,Male,Delhi,Tier2,CS,AI,No,No,8.71,7.72,8.13,8.69,7.83,7.96,8.49,8.28,8.23,86.5,3,3,4.0,4,1,79.7,8.0,83.9,85.7,Yes,High,1,0
120,Female,Delhi,Tier1,ECE,Networking,Yes,No,7.03,6.65,6.96,6.1,7.1,7.0,7.01,7.08,6.87,68.3,1,3,1.0,3,0,58.2,4.8,55.5,61.6,No,Medium,1,0
121,Female,Hyderabad,Tier1,IT,Embedded,No,Yes,6.68,6.04,6.28,6.75,7.25,6.44,6.73,6.83,6.62,69.7,1,0,3.0,1,0,42.4,5.39,39.2,51.7,No,Medium,0,0
122,Female,Ahmedabad,Tier2,Mechanical,DataScience,No,Yes,7.84,7.24,8.58,7.34,7.38,8.16,7.85,8.13,7.82,79.1,1,1,2.0,3,1,72.9,7.53,58.1,69.8,No,High,1,0
123,Male,Mumbai,Tier3,CS,AI,No,No,9.22,8.48,9.58,9.51,9.51,9.74,8.84,8.95,9.23,92.1,3,4,5.0,6,1,97.3,9.5,90.4,96.0,Yes,Excellent,1,0
124,Male,Ahmedabad,Tier1,ECE,Networking,Yes,No,8.66,8.36,8.27,8.44,8.26,8.59,8.47,8.19,8.4,85.1,1,3,4.0,4,1,82.3,9.06,73.3,72.1,No,High,1,0
125,Male,Kolkata,Tier1,ECE,AI,No,Yes,6.42,5.9,5.53,6.35,6.14,5.91,6.99,6.26,6.19,63.2,0,0,0.0,0,0,56.0,5.26,41.0,55.3,Yes,Medium,0,0
126,Male,Ahmedabad,Tier3,EE,AI,No,No,7.75,7.97,7.99,9.32,8.35,8.41,8.69,8.73,8.4,82.6,3,4,4.0,4,1,73.8,9.47,91.2,86.2,Yes,High,1,0
127,Male,Pune,Tier2,Civil,Networking,No,No,7.11,7.28,7.68,7.69,7.62,7.39,8.6,7.59,7.62,78.1,2,2,2.0,4,0,63.9,5.63,64.3,69.6,Yes,High,1,0
